date,month,lama_menginap_bintang,lama_menginap_non_bintang
2009-01-01,2009-01,3.082,2.82
2009-02-01,2009-02,3.4219999999999997,2.55
2009-03-01,2009-03,3.7919999999999994,3.17
2009-04-01,2009-04,3.614,2.92
2009-05-01,2009-05,3.9,2.42
2009-06-01,2009-06,3.6119999999999997,2.38
2009-07-01,2009-07,3.7359999999999998,2.54
2009-08-01,2009-08,3.8199999999999994,2.76
2009-09-01,2009-09,4.081999999999999,2.57
2009-10-01,2009-10,3.9099999999999993,2.68
2009-11-01,2009-11,3.442,2.58
2009-12-01,2009-12,3.3379999999999996,2.36
2010-01-01,2010-01,3.936,2.59
2010-02-01,2010-02,3.732,2.63
2010-03-01,2010-03,3.87,2.59
2010-04-01,2010-04,3.6700000000000004,2.56
2010-05-01,2010-05,3.4120000000000004,2.61
2010-06-01,2010-06,3.646,2.4
2010-07-01,2010-07,3.66,2.54
2010-08-01,2010-08,2.9880000000000004,2.64
2010-09-01,2010-09,3.3199999999999994,2.01
2010-10-01,2010-10,3.508,2.2
2010-11-01,2010-11,3.2159999999999997,2.19
2010-12-01,2010-12,3.7739999999999996,2.66
2011-01-01,2011-01,3.5759999999999996,3.11
2011-02-01,2011-02,3.1079999999999997,2.92
2011-03-01,2011-03,3.444,2.93
2011-04-01,2011-04,3.4699999999999998,2.82
2011-05-01,2011-05,2.8819999999999997,2.38
2011-06-01,2011-06,3.4979999999999998,2.21
2011-07-01,2011-07,3.4539999999999997,2.67
2011-08-01,2011-08,3.002,2.67
2011-09-01,2011-09,3.6800000000000006,2.34
2011-10-01,2011-10,3.7439999999999998,2.53
2011-11-01,2011-11,3.5799999999999996,2.99
2011-12-01,2011-12,3.2640000000000002,3.0
2012-01-01,2012-01,3.7439999999999998,2.68
2012-02-01,2012-02,3.694,2.76
2012-03-01,2012-03,3.4599999999999995,2.88
2012-04-01,2012-04,3.242,2.66
2012-05-01,2012-05,3.2560000000000002,2.62
2012-06-01,2012-06,3.0,3.07
2012-07-01,2012-07,2.994,2.87
2012-08-01,2012-08,2.484,2.84
2012-09-01,2012-09,3.0439999999999996,2.69
2012-10-01,2012-10,3.1,2.55
2012-11-01,2012-11,3.106,2.72
2012-12-01,2012-12,3.012,2.47
2013-01-01,2013-01,3.056,2.63
2013-02-01,2013-02,3.152,2.7
2013-03-01,2013-03,3.2119999999999997,2.61
2013-04-01,2013-04,3.25,2.84
2013-05-01,2013-05,3.0479999999999996,2.73
2013-06-01,2013-06,2.9739999999999998,2.48
2013-07-01,2013-07,3.2039999999999997,2.84
2013-08-01,2013-08,3.0759999999999996,2.84
2013-09-01,2013-09,3.0780000000000003,2.7
2013-10-01,2013-10,3.128,3.02
2013-11-01,2013-11,3.0,3.25
2013-12-01,2013-12,3.4939999999999998,3.47
2014-01-01,2014-01,3.496,2.69
2014-02-01,2014-02,2.998,2.7
2014-03-01,2014-03,3.0539999999999994,2.91
2014-04-01,2014-04,3.4019999999999997,2.7
2014-05-01,2014-05,3.308,2.57
2014-06-01,2014-06,2.822,2.45
2014-07-01,2014-07,3.25,2.67
2014-08-01,2014-08,3.2479999999999998,2.71
2014-09-01,2014-09,3.338,2.77
2014-10-01,2014-10,3.19,2.66
2014-11-01,2014-11,2.962,2.9
2014-12-01,2014-12,3.086,2.83
2015-01-01,2015-01,3.2600000000000002,2.12
2015-02-01,2015-02,3.128,2.54
2015-03-01,2015-03,3.108,2.63
2015-04-01,2015-04,3.004,2.78
2015-05-01,2015-05,3.098,2.37
2015-06-01,2015-06,2.92,2.7
2015-07-01,2015-07,2.928,2.32
2015-08-01,2015-08,2.8,2.54
2015-09-01,2015-09,2.9459999999999997,2.5
2015-10-01,2015-10,2.8840000000000003,2.39
2015-11-01,2015-11,2.936,2.3
2015-12-01,2015-12,3.082,2.5
2016-01-01,2016-01,3.2580000000000005,2.71
2016-02-01,2016-02,2.922,3.36
2016-03-01,2016-03,2.9999999999999996,2.81
2016-04-01,2016-04,2.702,2.48
2016-05-01,2016-05,2.5140000000000002,2.62
2016-06-01,2016-06,2.614,2.44
2016-07-01,2016-07,2.832,2.56
2016-08-01,2016-08,2.784,2.7
2016-09-01,2016-09,2.91,2.64
2016-10-01,2016-10,2.824,2.64
2016-11-01,2016-11,2.348,2.56
2016-12-01,2016-12,2.57,2.46
2017-01-01,2017-01,2.846,3.0
2017-02-01,2017-02,3.06,2.94
2017-03-01,2017-03,2.9400000000000004,2.21
2017-04-01,2017-04,2.8440000000000003,2.64
2017-05-01,2017-05,3.006,2.98
2017-06-01,2017-06,2.816,2.72
2017-07-01,2017-07,3.024,2.9
2017-08-01,2017-08,3.0399999999999996,2.34
2017-09-01,2017-09,2.9419999999999997,2.73
2017-10-01,2017-10,2.92,2.86
2017-11-01,2017-11,3.114,2.8
2017-12-01,2017-12,2.56,2.51
2018-01-01,2018-01,3.378,2.76
2018-02-01,2018-02,2.9939999999999998,2.76
2018-03-01,2018-03,2.99,2.41
2018-04-01,2018-04,2.8160000000000003,2.27
2018-05-01,2018-05,2.702,2.26
2018-06-01,2018-06,2.6959999999999997,2.33
2018-07-01,2018-07,2.8299999999999996,2.23
2018-08-01,2018-08,2.578,2.34
2018-09-01,2018-09,2.94,2.51
2018-10-01,2018-10,2.878,2.41
2018-11-01,2018-11,2.944,2.46
2018-12-01,2018-12,2.8080000000000003,2.32
2019-01-01,2019-01,3.6239999999999997,2.32
2019-02-01,2019-02,3.6239999999999997,3.21
2019-03-01,2019-03,3.0300000000000002,2.49
2019-04-01,2019-04,2.9520000000000004,2.58
2019-05-01,2019-05,3.0460000000000003,2.59
2019-06-01,2019-06,2.7299999999999995,2.58
2019-07-01,2019-07,2.648,2.61
2019-08-01,2019-08,2.752,2.54
2019-09-01,2019-09,3.008,2.52
2019-10-01,2019-10,2.888,2.49
2019-11-01,2019-11,2.66,2.49
2019-12-01,2019-12,2.678,2.38
2020-01-01,2020-01,2.842,
2020-02-01,2020-02,3.03,
2020-03-01,2020-03,2.9,
2020-04-01,2020-04,3.444,
2020-05-01,2020-05,2.694,
2020-06-01,2020-06,2.594,
2020-07-01,2020-07,2.27,
2020-08-01,2020-08,1.8299999999999996,
2020-09-01,2020-09,1.835,
2020-10-01,2020-10,1.932,
2020-11-01,2020-11,1.7239999999999998,
2020-12-01,2020-12,1.902,
2021-01-01,2021-01,3.395,
2021-02-01,2021-02,2.444,
2021-03-01,2021-03,1.884,
2021-04-01,2021-04,1.9460000000000002,
2021-05-01,2021-05,1.8619999999999997,
2021-06-01,2021-06,1.8319999999999996,
2021-07-01,2021-07,2.16,
2021-08-01,2021-08,1.936,
2021-09-01,2021-09,1.6780000000000002,
2021-10-01,2021-10,3.258,
2021-11-01,2021-11,2.238,
2021-12-01,2021-12,1.9560000000000002,
2022-01-01,2022-01,1.8399999999999999,
2022-02-01,2022-02,1.7439999999999998,
2022-03-01,2022-03,1.8219999999999998,
2022-04-01,2022-04,1.848,
2022-05-01,2022-05,2.0620000000000003,
2022-06-01,2022-06,2.268,
2022-07-01,2022-07,1.95,
2022-08-01,2022-08,1.9119999999999997,
2022-09-01,2022-09,2.1420000000000003,
2022-10-01,2022-10,2.2600000000000002,
2022-11-01,2022-11,2.4859999999999998,
2022-12-01,2022-12,2.294,
2023-01-01,2023-01,2.202,
2023-02-01,2023-02,2.2439999999999998,
2023-03-01,2023-03,2.286,
2023-04-01,2023-04,2.324,
2023-05-01,2023-05,2.192,
2023-06-01,2023-06,2.2119999999999997,
2023-07-01,2023-07,2.396,
2023-08-01,2023-08,2.35,
2023-09-01,2023-09,2.332,
2023-10-01,2023-10,2.3180000000000005,
2023-11-01,2023-11,2.2800000000000002,
2023-12-01,2023-12,2.266,
2024-01-01,2024-01,2.33,
2024-02-01,2024-02,2.474,
2024-03-01,2024-03,2.75,
2024-04-01,2024-04,2.556,
2024-05-01,2024-05,2.5660000000000003,
2024-06-01,2024-06,2.55,
2024-07-01,2024-07,2.5160000000000005,
2024-08-01,2024-08,2.786,
2024-09-01,2024-09,2.582,
2024-10-01,2024-10,2.488,
2024-11-01,2024-11,2.5799999999999996,
2024-12-01,2024-12,2.522,
2025-01-01,2025-01,2.956,
2025-02-01,2025-02,2.806,
2025-03-01,2025-03,2.944,
2025-04-01,2025-04,2.752,
2025-05-01,2025-05,2.718,
2025-06-01,2025-06,2.734,
2025-07-01,2025-07,2.8019999999999996,
2025-08-01,2025-08,2.9800000000000004,
2025-09-01,2025-09,3.008,
2025-10-01,2025-10,2.95,
2025-11-01,2025-11,2.914,
2025-12-01,2025-12,2.844,
