month,idr_eur_rate
2014-11,15198.2
2014-12,15316.347826086956
2015-01,14637.318181818182
2015-02,14480.1
2015-03,14154.09090909091
2015-04,14008.09090909091
2015-05,14655.57142857143
2015-06,14942.318181818182
2015-07,14718.434782608696
2015-08,15377.47619047619
2015-09,16200.772727272728
2015-10,15477.5
2015-11,14677.714285714286
2015-12,15082.478260869566
2016-01,15087.047619047618
2016-02,15011.190476190477
2016-03,14713.304347826086
2016-04,14945.52380952381
2016-05,15171.363636363636
2016-06,15015.40909090909
2016-07,14523.047619047618
2016-08,14768.347826086956
2016-09,14719.0
2016-10,14358.57142857143
2016-11,14381.045454545454
2016-12,14144.727272727272
2017-01,14227.636363636364
2017-02,14207.75
2017-03,14272.695652173914
2017-04,14247.6
2017-05,14722.173913043478
2017-06,14944.727272727272
2017-07,15376.857142857143
2017-08,15764.391304347826
2017-09,15836.666666666666
2017-10,15893.772727272728
2017-11,15876.545454545454
2017-12,16042.47619047619
2018-01,16311.95652173913
2018-02,16778.95
2018-03,16966.68181818182
2018-04,16940.619047619046
2018-05,16571.478260869564
2018-06,16338.47619047619
2018-07,16825.272727272728
2018-08,16806.217391304348
2018-09,17327.15
2018-10,17413.608695652172
2018-11,16649.136363636364
2018-12,16491.85714285714
2019-01,16182.565217391304
2019-02,15907.2
2019-03,16043.142857142857
2019-04,15870.454545454546
2019-05,16065.04347826087
2019-06,16067.55
2019-07,15723.739130434782
2019-08,15825.454545454546
2019-09,15509.0
2019-10,15597.304347826086
2019-11,15517.0
2019-12,15554.90909090909
2020-01,15238.347826086956
2020-02,14995.5
2020-03,16846.31818181818
2020-04,17193.454545454544
2020-05,16249.714285714286
2020-06,15969.90909090909
2020-07,16671.782608695652
2020-08,17404.428571428572
2020-09,17462.136363636364
2020-10,17332.5
2020-11,16827.52380952381
2020-12,17244.782608695652
2021-01,17085.04761904762
2021-02,16975.0
2021-03,17130.217391304348
2021-04,17397.090909090908
2021-05,17381.52380952381
2021-06,17266.090909090908
2021-07,17144.2
2021-08,16924.545454545456
2021-09,16764.272727272728
2021-10,16438.47619047619
2021-11,16272.636363636364
2021-12,16193.347826086956
2022-01,16218.52380952381
2022-02,16268.05
2022-03,15796.608695652174
2022-04,15524.380952380952
2022-05,15430.181818181818
2022-06,15514.09090909091
2022-07,15253.047619047618
2022-08,15018.826086956522
2022-09,14822.59090909091
2022-10,15183.095238095239
2022-11,15985.545454545454
2022-12,16507.272727272728
2023-01,16419.863636363636
2023-02,16185.9
2023-03,16354.652173913044
2023-04,16260.65
2023-05,16087.217391304348
2023-06,16192.40909090909
2023-07,16615.14285714286
2023-08,16616.217391304348
2023-09,16402.85714285714
2023-10,16642.773509565217
2023-11,16852.534538448275
2023-12,16906.746567548387
2024-01,17039.900930935484
2024-02,16898.287833206898
2024-03,17076.371039903228
2024-04,17261.434134266667
2024-05,17365.067198645163
2024-06,17605.7110373
2024-07,17627.539910548385
2024-08,17363.168400096776
2024-09,17022.64471663333
2024-10,16990.54750348387
2024-11,16821.233885133333
2024-12,16801.07855248387
2025-01,16834.116755225805
2025-02,16692.654260107145
2025-03,17778.940553258064
2025-04,18892.508483933332
2025-05,18545.059792709675
2025-06,18788.471421433333
2025-07,19046.39324503226
2025-08,18984.150445225805
2025-09,19386.4900945
2025-10,19328.167237999998
2025-11,19308.911624733333
2025-12,19563.29853048387
2026-01,19729.961341903225
2026-02,19903.85378225
2026-03,19595.017186838708
2026-04,20026.122880333332
2026-05,20459.534496285713
