date,avg_tone,article_count,issue_article_count
2009-01-01,4.88155508574297,271,0
2009-02-01,4.7604964395730365,389,2
2009-03-01,5.302634352971298,305,0
2009-04-01,4.192748371266921,510,0
2009-05-01,5.349025549104788,444,0
2009-06-01,4.534744850892328,445,0
2009-07-01,4.129208821060468,824,0
2009-08-01,4.6048148760291925,749,0
2009-09-01,4.111063484782686,957,0
2009-10-01,5.801605828373134,311,0
2009-11-01,6.230596235833881,289,0
2009-12-01,4.011244672707032,778,0
2010-01-01,4.855977498053338,541,0
2010-02-01,4.537235554451911,818,0
2010-03-01,4.516288534615967,452,0
2010-04-01,5.191630941517127,389,0
2010-05-01,4.985125435069294,292,0
2010-06-01,4.550960154302922,212,0
2010-07-01,4.497235589617017,360,0
2010-08-01,4.961477002750272,979,0
2010-09-01,5.02127623342617,890,0
2010-10-01,5.160018753674698,551,0
2010-11-01,5.645501384147442,404,0
2010-12-01,5.277318713457261,823,0
2011-01-01,4.76740399969625,464,0
2011-02-01,4.878717111370354,612,0
2011-03-01,4.988272266478844,721,0
2011-04-01,5.525745810569649,699,0
2011-05-01,5.781264464330278,861,0
2011-06-01,5.2851545376827485,813,3
2011-07-01,5.47376959459174,1423,2
2011-08-01,4.978030847883391,799,0
2011-09-01,4.7621614828606855,708,0
2011-10-01,4.551418668729802,1290,0
2011-11-01,5.681033191224372,1845,0
2011-12-01,5.812053429217371,680,0
2012-01-01,4.7239111216795155,467,1
2012-02-01,3.846916196661153,546,2
2012-03-01,3.7017385232467896,791,0
2012-04-01,5.285808389291229,544,0
2012-05-01,5.290492870062397,1245,0
2012-06-01,5.472898299894679,526,0
2012-07-01,5.626057557033732,804,3
2012-08-01,5.8605656391701615,602,0
2012-09-01,5.6994513468238495,692,2
2012-10-01,5.452278508561922,1285,2
2012-11-01,2.916335286226353,1940,0
2012-12-01,2.4057772305305107,1346,2
2013-01-01,2.3213199191093623,1914,1
2013-02-01,3.079549051563973,1099,0
2013-03-01,2.7775897687282893,1515,4
2013-04-01,2.4267229491594824,790,0
2013-05-01,1.9013765791189428,477,2
2013-06-01,2.4339456753554507,937,0
2013-07-01,2.455075811843858,1001,0
2013-08-01,2.822625709069031,1779,1
2013-09-01,2.9394086571582085,3124,1
2013-10-01,2.623685460317868,5587,0
2013-11-01,2.730726714166763,2377,17
2013-12-01,3.223376092763258,1870,0
2014-01-01,2.3630985751173026,1618,0
2014-02-01,2.4185772603289606,4555,4
2014-03-01,2.05728804334744,1291,0
2014-04-01,1.5447062530647946,1556,0
2014-05-01,1.9473031984348472,1462,0
2014-06-01,2.8005452183731046,1097,0
2014-07-01,2.380926459580797,886,2
2014-08-01,1.8445222744928826,3141,0
2014-09-01,1.970021257022688,1420,0
2014-10-01,2.1803696755610384,1975,4
2014-11-01,2.7263512578055678,1175,0
2014-12-01,2.3101387402900455,1556,0
2015-01-01,1.961577334721002,3199,0
2015-02-01,-0.9190373873931322,5939,0
2015-03-01,-3.853976254928113,7492,2
2015-04-01,-4.58376755024452,8235,0
2015-05-01,-3.561435362449791,3341,0
2015-06-01,-2.922878193176311,2192,0
2015-07-01,-2.8449680665013366,2255,3
2015-08-01,-2.603335220655064,1649,0
2015-09-01,-2.7171653364987103,1827,0
2015-10-01,-3.6108640215374614,3009,0
2015-11-01,-3.211324970438628,3450,3
2015-12-01,-3.8383011727502785,1844,0
2016-01-01,-4.223590412066429,2527,0
2016-02-01,-2.7551564007786737,1595,2
2016-03-01,-2.141674342641624,1643,1
2016-04-01,-2.196291480229528,1241,0
2016-05-01,-2.240216979534235,1437,0
2016-06-01,-1.4526024998486455,1178,0
2016-07-01,-3.372829908769499,1174,3
2016-08-01,-4.6971167056646514,3666,0
2016-09-01,-3.591733197621061,2122,12
2016-10-01,-3.1681987469715973,2077,5
2016-11-01,-3.435328646650738,2150,9
2016-12-01,-3.026094468960288,2093,13
